Descripcion;Colección;Prefijo_Coleccion;Codigo_Producto;SKU;Foto_Comodin_Coleccion;Foto_Real_Codigo_Producto;Precio_EUR;Precio_COP;Multiplicador
;GAROFANO LAVI;GL;006;GL006;Garofano_Lavi.png;006.jpg;EUR 83,67;COP 1.054.267;
;ROSSO E ORO;GRG;006;GRG006;Rosso_E_Oro.png;006.jpg;EUR 92,04;COP 1.159.694;
;AVORIO E ORO;GIG;006;GIG006;Avorio_E_Oro.png;006.jpg;EUR 92,04;COP 1.159.694;
Jug 0.25;GIALLO FIORE;GF;007;GF007;Giallo_Fiore.png;007.jpg;EUR 26,69;COP 336.269;
;BIANCO FIORE;BF;007;BF007;Bianco_Fiore.png;007.jpg;EUR 26,69;COP 336.269;
;MAZZETTO;MZ;007;MZ007;Mazzetto.png;007.jpg;EUR 27,41;COP 345.341;
;GAROFANO BLU;GB;007;GB007;Garofano_Blu.png;007.jpg;EUR 33,90;COP 427.190;
;GAROFANO IMOLA;GI;007;GI007;Garofano_Imola.png;007.jpg;EUR 35,34;COP 445.334;
;GAROFANO TIFFANY;GT;007;GT007;Garofano_Tiffany.png;007.jpg;EUR 35,34;COP 445.334;
;GAROFANO ROSA;GP;007;GP007;Garofano_Rosa.png;007.jpg;EUR 35,34;COP 445.334;
;GAROFANO LAVI;GL;007;GL007;Garofano_Lavi.png;007.jpg;EUR 35,34;COP 445.334;
;ROSSO E ORO;GRG;007;GRG007;Rosso_E_Oro.png;007.jpg;EUR 38,88;COP 489.868;
;AVORIO E ORO;GIG;007;GIG007;Avorio_E_Oro.png;007.jpg;EUR 38,88;COP 489.868;
Jug 0.50;GIALLO FIORE;GF;008;GF008;Giallo_Fiore.png;008.jpg;EUR 30,30;COP 381.730;
;BIANCO FIORE;BF;008;BF008;Bianco_Fiore.png;008.jpg;EUR 30,30;COP 381.730;
;MAZZETTO;MZ;008;MZ008;Mazzetto.png;008.jpg;EUR 31,74;COP 399.874;
;GAROFANO BLU;GB;008;GB008;Garofano_Blu.png;008.jpg;EUR 38,23;COP 481.723;
;GAROFANO IMOLA;GI;008;GI008;Garofano_Imola.png;008.jpg;EUR 44,72;COP 563.472;
;GAROFANO TIFFANY;GT;008;GT008;Garofano_Tiffany.png;008.jpg;EUR 44,72;COP 563.472;
